dc (V),deriv(i("/NM0/D" ?result "dc")),dc (V),NM0:d (A)
2.000E-3,3.739E-9,0.000,116.4E-12
4.000E-3,3.993E-9,2.000E-3,123.9E-12
6.000E-3,4.264E-9,4.000E-3,131.9E-12
8.000E-3,4.553E-9,6.000E-3,140.4E-12
10.00E-3,4.862E-9,8.000E-3,149.5E-12
12.00E-3,5.191E-9,10.00E-3,159.2E-12
14.00E-3,5.542E-9,12.00E-3,169.6E-12
16.00E-3,5.917E-9,14.00E-3,180.7E-12
18.00E-3,6.317E-9,16.00E-3,192.5E-12
20.00E-3,6.743E-9,18.00E-3,205.2E-12
22.00E-3,7.199E-9,20.00E-3,218.7E-12
24.00E-3,7.684E-9,22.00E-3,233.1E-12
26.00E-3,8.203E-9,24.00E-3,248.4E-12
28.00E-3,8.756E-9,26.00E-3,264.8E-12
30.00E-3,9.346E-9,28.00E-3,282.3E-12
32.00E-3,9.976E-9,30.00E-3,301.0E-12
34.00E-3,10.65E-9,32.00E-3,321.0E-12
36.00E-3,11.37E-9,34.00E-3,342.3E-12
38.00E-3,12.13E-9,36.00E-3,365.0E-12
40.00E-3,12.95E-9,38.00E-3,389.3E-12
42.00E-3,13.82E-9,40.00E-3,415.2E-12
44.00E-3,14.75E-9,42.00E-3,442.8E-12
46.00E-3,15.74E-9,44.00E-3,472.3E-12
48.00E-3,16.80E-9,46.00E-3,503.8E-12
50.00E-3,17.93E-9,48.00E-3,537.4E-12
52.00E-3,19.13E-9,50.00E-3,573.2E-12
54.00E-3,20.42E-9,52.00E-3,611.5E-12
56.00E-3,21.79E-9,54.00E-3,652.3E-12
58.00E-3,23.25E-9,56.00E-3,695.9E-12
60.00E-3,24.82E-9,58.00E-3,742.4E-12
62.00E-3,26.48E-9,60.00E-3,792.1E-12
64.00E-3,28.26E-9,62.00E-3,845.0E-12
66.00E-3,30.16E-9,64.00E-3,901.5E-12
68.00E-3,32.18E-9,66.00E-3,961.8E-12
70.00E-3,34.34E-9,68.00E-3,1.026E-9
72.00E-3,36.64E-9,70.00E-3,1.095E-9
74.00E-3,39.10E-9,72.00E-3,1.168E-9
76.00E-3,41.72E-9,74.00E-3,1.246E-9
78.00E-3,44.51E-9,76.00E-3,1.330E-9
80.00E-3,47.50E-9,78.00E-3,1.419E-9
82.00E-3,50.68E-9,80.00E-3,1.514E-9
84.00E-3,54.07E-9,82.00E-3,1.615E-9
86.00E-3,57.68E-9,84.00E-3,1.723E-9
88.00E-3,61.53E-9,86.00E-3,1.839E-9
90.00E-3,65.64E-9,88.00E-3,1.962E-9
92.00E-3,70.02E-9,90.00E-3,2.093E-9
94.00E-3,74.69E-9,92.00E-3,2.233E-9
96.00E-3,79.67E-9,94.00E-3,2.382E-9
98.00E-3,84.98E-9,96.00E-3,2.542E-9
100.0E-3,90.65E-9,98.00E-3,2.712E-9
102.0E-3,96.68E-9,100.0E-3,2.893E-9
104.0E-3,103.1E-9,102.0E-3,3.086E-9
