dc (V),NM0:d (W=1.00e-06) (A),NM0:d (W=6.00e-06) (A),NM0:d (W=1.10e-05) (A),NM0:d (W=1.60e-05) (A),NM0:d (W=2.10e-05) (A),NM0:d (W=2.60e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.6e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.6e-05))
0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000E-3,1.298E-9,1.008E-9,717.4E-12,1.589E-9
2.000E-3,276.0E-15,855.0E-15,1.435E-12,2.016E-12,2.596E-12,3.177E-12,4.000E-3,1.421E-9,1.103E-9,785.3E-12,1.739E-9
4.000E-3,577.7E-15,1.791E-12,3.005E-12,4.222E-12,5.439E-12,6.656E-12,6.000E-3,1.551E-9,1.204E-9,857.0E-12,1.898E-9
6.000E-3,906.7E-15,2.811E-12,4.719E-12,6.630E-12,8.541E-12,10.45E-12,8.000E-3,1.689E-9,1.311E-9,932.8E-12,2.067E-9
8.000E-3,1.264E-12,3.922E-12,6.585E-12,9.251E-12,11.92E-12,14.59E-12,10.00E-3,1.834E-9,1.423E-9,1.013E-9,2.244E-9
10.00E-3,1.653E-12,5.128E-12,8.611E-12,12.10E-12,15.59E-12,19.07E-12,12.00E-3,1.987E-9,1.542E-9,1.097E-9,2.431E-9
12.00E-3,2.073E-12,6.434E-12,10.80E-12,15.18E-12,19.56E-12,23.94E-12,14.00E-3,2.148E-9,1.667E-9,1.186E-9,2.629E-9
14.00E-3,2.527E-12,7.846E-12,13.18E-12,18.51E-12,23.85E-12,29.19E-12,16.00E-3,2.317E-9,1.798E-9,1.280E-9,2.836E-9
16.00E-3,3.016E-12,9.369E-12,15.74E-12,22.11E-12,28.49E-12,34.87E-12,18.00E-3,2.496E-9,1.937E-9,1.378E-9,3.055E-9
18.00E-3,3.543E-12,11.01E-12,18.49E-12,25.98E-12,33.48E-12,40.98E-12,20.00E-3,2.683E-9,2.082E-9,1.481E-9,3.284E-9
20.00E-3,4.109E-12,12.77E-12,21.45E-12,30.15E-12,38.85E-12,47.54E-12,22.00E-3,2.880E-9,2.235E-9,1.590E-9,3.526E-9
22.00E-3,4.716E-12,14.66E-12,24.63E-12,34.62E-12,44.61E-12,54.60E-12,24.00E-3,3.088E-9,2.396E-9,1.704E-9,3.780E-9
24.00E-3,5.367E-12,16.69E-12,28.04E-12,39.41E-12,50.78E-12,62.16E-12,26.00E-3,3.306E-9,2.565E-9,1.825E-9,4.047E-9
26.00E-3,6.063E-12,18.86E-12,31.69E-12,44.54E-12,57.39E-12,70.25E-12,28.00E-3,3.536E-9,2.744E-9,1.952E-9,4.329E-9
28.00E-3,6.808E-12,21.18E-12,35.60E-12,50.03E-12,64.47E-12,78.91E-12,30.00E-3,3.779E-9,2.932E-9,2.085E-9,4.626E-9
30.00E-3,7.603E-12,23.66E-12,39.77E-12,55.89E-12,72.02E-12,88.16E-12,32.00E-3,4.035E-9,3.131E-9,2.227E-9,4.939E-9
32.00E-3,8.451E-12,26.31E-12,44.22E-12,62.15E-12,80.09E-12,98.04E-12,34.00E-3,4.306E-9,3.341E-9,2.376E-9,5.271E-9
34.00E-3,9.356E-12,29.13E-12,48.97E-12,68.84E-12,88.71E-12,108.6E-12,36.00E-3,4.593E-9,3.563E-9,2.534E-9,5.623E-9
36.00E-3,10.32E-12,32.15E-12,54.04E-12,75.96E-12,97.89E-12,119.8E-12,38.00E-3,4.898E-9,3.800E-9,2.702E-9,5.996E-9
38.00E-3,11.35E-12,35.36E-12,59.44E-12,83.56E-12,107.7E-12,131.8E-12,40.00E-3,5.223E-9,4.052E-9,2.881E-9,6.394E-9
40.00E-3,12.45E-12,38.78E-12,65.21E-12,91.67E-12,118.1E-12,144.6E-12,42.00E-3,5.569E-9,4.320E-9,3.072E-9,6.818E-9
42.00E-3,13.61E-12,42.43E-12,71.35E-12,100.3E-12,129.3E-12,158.2E-12,44.00E-3,5.939E-9,4.607E-9,3.276E-9,7.271E-9
44.00E-3,14.86E-12,46.32E-12,77.90E-12,109.5E-12,141.1E-12,172.8E-12,46.00E-3,6.335E-9,4.914E-9,3.494E-9,7.755E-9
