dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
0.000,19.88E-12,35.49E-12,51.16E-12,66.84E-12,82.51E-12,2.000E-3,2.130E-9,1.628E-9,1.126E-9,626.4E-12,2.632E-9
2.000E-3,21.13E-12,37.74E-12,54.42E-12,71.10E-12,87.77E-12,4.000E-3,2.275E-9,1.739E-9,1.203E-9,668.9E-12,2.811E-9
4.000E-3,22.47E-12,40.15E-12,57.90E-12,75.65E-12,93.39E-12,6.000E-3,2.429E-9,1.857E-9,1.284E-9,714.2E-12,3.002E-9
6.000E-3,23.90E-12,42.72E-12,61.61E-12,80.50E-12,99.40E-12,8.000E-3,2.594E-9,1.983E-9,1.371E-9,762.6E-12,3.206E-9
8.000E-3,25.42E-12,45.46E-12,65.58E-12,85.69E-12,105.8E-12,10.00E-3,2.770E-9,2.117E-9,1.464E-9,814.2E-12,3.423E-9
10.00E-3,27.05E-12,48.39E-12,69.81E-12,91.23E-12,112.7E-12,12.00E-3,2.958E-9,2.261E-9,1.563E-9,869.3E-12,3.655E-9
12.00E-3,28.79E-12,51.51E-12,74.33E-12,97.15E-12,120.0E-12,14.00E-3,3.158E-9,2.414E-9,1.669E-9,928.1E-12,3.902E-9
14.00E-3,30.65E-12,54.85E-12,79.16E-12,103.5E-12,127.8E-12,16.00E-3,3.372E-9,2.577E-9,1.782E-9,990.8E-12,4.167E-9
16.00E-3,32.63E-12,58.42E-12,84.31E-12,110.2E-12,136.1E-12,18.00E-3,3.600E-9,2.751E-9,1.903E-9,1.058E-9,4.448E-9
18.00E-3,34.74E-12,62.22E-12,89.82E-12,117.4E-12,145.0E-12,20.00E-3,3.843E-9,2.937E-9,2.031E-9,1.129E-9,4.749E-9
20.00E-3,37.00E-12,66.28E-12,95.69E-12,125.1E-12,154.5E-12,22.00E-3,4.103E-9,3.136E-9,2.168E-9,1.205E-9,5.070E-9
22.00E-3,39.41E-12,70.62E-12,102.0E-12,133.3E-12,164.6E-12,24.00E-3,4.380E-9,3.347E-9,2.315E-9,1.287E-9,5.412E-9
