dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
0.000,5.905E-3,4.207E-3,2.000E-3,-11.38E-3,1.240E-9
2.000E-3,5.905E-3,4.184E-3,4.000E-3,-11.37E-3,1.358E-9
4.000E-3,5.905E-3,4.162E-3,6.000E-3,-11.36E-3,1.482E-9
6.000E-3,5.905E-3,4.139E-3,8.000E-3,-11.35E-3,1.613E-9
8.000E-3,5.905E-3,4.116E-3,10.00E-3,-11.35E-3,1.752E-9
10.00E-3,5.905E-3,4.093E-3,12.00E-3,-11.34E-3,1.898E-9
12.00E-3,5.905E-3,4.071E-3,14.00E-3,-11.33E-3,2.051E-9
14.00E-3,5.905E-3,4.048E-3,16.00E-3,-11.32E-3,2.213E-9
16.00E-3,5.905E-3,4.025E-3,18.00E-3,-11.31E-3,2.384E-9
18.00E-3,5.905E-3,4.003E-3,20.00E-3,-11.30E-3,2.563E-9
20.00E-3,5.905E-3,3.980E-3,22.00E-3,-11.29E-3,2.751E-9
22.00E-3,5.905E-3,3.958E-3,24.00E-3,-11.28E-3,2.949E-9
24.00E-3,5.905E-3,3.935E-3,26.00E-3,-11.27E-3,3.158E-9
26.00E-3,5.905E-3,3.913E-3,28.00E-3,-11.26E-3,3.378E-9
28.00E-3,5.905E-3,3.890E-3,30.00E-3,-11.25E-3,3.609E-9
30.00E-3,5.905E-3,3.868E-3,32.00E-3,-11.24E-3,3.854E-9
32.00E-3,5.905E-3,3.845E-3,34.00E-3,-11.23E-3,4.113E-9
34.00E-3,5.905E-3,3.823E-3,36.00E-3,-11.22E-3,4.387E-9
36.00E-3,5.905E-3,3.800E-3,38.00E-3,-11.21E-3,4.678E-9
38.00E-3,5.905E-3,3.778E-3,40.00E-3,-11.20E-3,4.988E-9
40.00E-3,5.905E-3,3.755E-3,42.00E-3,-11.19E-3,5.319E-9
42.00E-3,5.905E-3,3.733E-3,44.00E-3,-11.18E-3,5.672E-9
44.00E-3,5.905E-3,3.711E-3,46.00E-3,-11.17E-3,6.051E-9
46.00E-3,5.905E-3,3.688E-3,48.00E-3,-11.16E-3,6.456E-9
48.00E-3,5.905E-3,3.666E-3,50.00E-3,-11.15E-3,6.891E-9
50.00E-3,5.905E-3,3.644E-3,52.00E-3,-11.14E-3,7.359E-9
52.00E-3,5.905E-3,3.621E-3,54.00E-3,-11.13E-3,7.862E-9
54.00E-3,5.905E-3,3.599E-3,56.00E-3,-11.12E-3,8.402E-9
56.00E-3,5.905E-3,3.577E-3,58.00E-3,-11.11E-3,8.984E-9
58.00E-3,5.905E-3,3.555E-3,60.00E-3,-11.10E-3,9.610E-9
60.00E-3,5.905E-3,3.532E-3,62.00E-3,-11.08E-3,10.28E-9
62.00E-3,5.905E-3,3.510E-3,64.00E-3,-11.07E-3,11.01E-9
64.00E-3,5.905E-3,3.488E-3,66.00E-3,-11.06E-3,11.79E-9
66.00E-3,5.905E-3,3.466E-3,68.00E-3,-11.05E-3,12.63E-9
68.00E-3,5.905E-3,3.444E-3,70.00E-3,-11.04E-3,13.53E-9
70.00E-3,5.905E-3,3.422E-3,72.00E-3,-11.03E-3,14.50E-9
72.00E-3,5.905E-3,3.400E-3,74.00E-3,-11.01E-3,15.54E-9
74.00E-3,5.905E-3,3.378E-3,76.00E-3,-11.00E-3,16.66E-9
76.00E-3,5.905E-3,3.356E-3,78.00E-3,-10.99E-3,17.87E-9
78.00E-3,5.905E-3,3.334E-3,80.00E-3,-10.98E-3,19.16E-9
80.00E-3,5.905E-3,3.312E-3,82.00E-3,-10.96E-3,20.55E-9
82.00E-3,5.905E-3,3.290E-3,84.00E-3,-10.95E-3,22.04E-9
84.00E-3,5.905E-3,3.268E-3,86.00E-3,-10.94E-3,23.64E-9
86.00E-3,5.905E-3,3.246E-3,88.00E-3,-10.93E-3,25.35E-9
88.00E-3,5.905E-3,3.224E-3,90.00E-3,-10.91E-3,27.19E-9
90.00E-3,5.905E-3,3.202E-3,92.00E-3,-10.90E-3,29.16E-9
92.00E-3,5.905E-3,3.181E-3,94.00E-3,-10.89E-3,31.28E-9
94.00E-3,5.905E-3,3.159E-3,96.00E-3,-10.87E-3,33.55E-9
96.00E-3,5.905E-3,3.137E-3,98.00E-3,-10.86E-3,35.98E-9
98.00E-3,5.905E-3,3.115E-3,100.0E-3,-10.85E-3,38.59E-9
100.0E-3,5.905E-3,3.094E-3,102.0E-3,-10.83E-3,41.39E-9
102.0E-3,5.905E-3,3.072E-3,104.0E-3,-10.82E-3,44.39E-9
104.0E-3,5.905E-3,3.050E-3,106.0E-3,-10.80E-3,47.60E-9
106.0E-3,5.905E-3,3.029E-3,108.0E-3,-10.79E-3,51.05E-9
108.0E-3,5.905E-3,3.007E-3,110.0E-3,-10.77E-3,54.75E-9
110.0E-3,5.905E-3,2.986E-3,112.0E-3,-10.76E-3,58.70E-9
112.0E-3,5.905E-3,2.964E-3,114.0E-3,-10.75E-3,62.95E-9
114.0E-3,5.905E-3,2.943E-3,116.0E-3,-10.73E-3,67.50E-9
116.0E-3,5.905E-3,2.921E-3,118.0E-3,-10.72E-3,72.37E-9
118.0E-3,5.905E-3,2.900E-3,120.0E-3,-10.70E-3,77.59E-9
120.0E-3,5.905E-3,2.878E-3,122.0E-3,-10.69E-3,83.18E-9
122.0E-3,5.905E-3,2.857E-3,124.0E-3,-10.67E-3,89.17E-9
