dc (V),NM0:d (L=9.00e-08) (A),NM0:d (L=1.90e-07) (A),NM0:d (L=2.40e-07) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "L" 9e-08)),deriv(value(getData("/NM0/D" ?result "dc") "L" 2.4e-07)),deriv(value(getData("/NM0/D" ?result "dc") "L" 1.4e-07)),dc (V),NM0:d (L=1.40e-07) (A)
0.000,0.000,0.000,0.000,2.000E-3,86.02E-12,139.7E-12,100.6E-12,0.000,0.000
2.000E-3,172.0E-15,240.6E-15,279.5E-15,4.000E-3,94.01E-12,152.8E-12,110.0E-12,2.000E-3,201.1E-15
4.000E-3,360.1E-15,503.7E-15,585.0E-15,6.000E-3,102.5E-12,166.5E-12,120.1E-12,4.000E-3,421.2E-15
6.000E-3,565.0E-15,790.7E-15,918.1E-15,8.000E-3,111.4E-12,181.0E-12,130.7E-12,6.000E-3,661.4E-15
8.000E-3,787.8E-15,1.103E-12,1.280E-12,10.00E-3,120.8E-12,196.3E-12,141.9E-12,8.000E-3,922.8E-15
10.00E-3,1.029E-12,1.441E-12,1.673E-12,12.00E-3,130.8E-12,212.3E-12,153.6E-12,10.00E-3,1.206E-12
12.00E-3,1.291E-12,1.808E-12,2.097E-12,14.00E-3,141.2E-12,229.0E-12,166.0E-12,12.00E-3,1.514E-12
14.00E-3,1.573E-12,2.204E-12,2.555E-12,16.00E-3,152.2E-12,246.6E-12,179.1E-12,14.00E-3,1.846E-12
16.00E-3,1.878E-12,2.630E-12,3.048E-12,18.00E-3,163.8E-12,265.1E-12,192.8E-12,16.00E-3,2.204E-12
18.00E-3,2.206E-12,3.089E-12,3.579E-12,20.00E-3,176.0E-12,284.4E-12,207.2E-12,18.00E-3,2.590E-12
20.00E-3,2.558E-12,3.582E-12,4.147E-12,22.00E-3,188.8E-12,304.7E-12,222.4E-12,20.00E-3,3.004E-12
22.00E-3,2.935E-12,4.110E-12,4.757E-12,24.00E-3,202.3E-12,325.9E-12,238.3E-12,22.00E-3,3.449E-12
24.00E-3,3.340E-12,4.676E-12,5.409E-12,26.00E-3,216.5E-12,348.2E-12,255.0E-12,24.00E-3,3.925E-12
26.00E-3,3.773E-12,5.280E-12,6.105E-12,28.00E-3,231.4E-12,371.6E-12,272.6E-12,26.00E-3,4.435E-12
28.00E-3,4.236E-12,5.926E-12,6.848E-12,30.00E-3,247.1E-12,396.3E-12,291.2E-12,28.00E-3,4.981E-12
30.00E-3,4.730E-12,6.615E-12,7.641E-12,32.00E-3,263.7E-12,422.4E-12,310.8E-12,30.00E-3,5.563E-12
32.00E-3,5.257E-12,7.350E-12,8.486E-12,34.00E-3,281.3E-12,450.0E-12,331.5E-12,32.00E-3,6.185E-12
34.00E-3,5.820E-12,8.134E-12,9.386E-12,36.00E-3,299.9E-12,479.3E-12,353.5E-12,34.00E-3,6.848E-12
36.00E-3,6.420E-12,8.969E-12,10.34E-12,38.00E-3,319.6E-12,510.5E-12,376.9E-12,36.00E-3,7.555E-12
38.00E-3,7.059E-12,9.859E-12,11.37E-12,40.00E-3,340.6E-12,543.7E-12,401.7E-12,38.00E-3,8.308E-12
40.00E-3,7.740E-12,10.81E-12,12.45E-12,42.00E-3,363.0E-12,579.3E-12,428.3E-12,40.00E-3,9.112E-12
