dc (V),V1:p (W=5.00e-06) (A),V1:p (W=1.00e-05) (A),V1:p (W=1.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 5e-06)),dc (V),V1:p (W=2.00e-05) (A)
0.000,1.051E-3,2.103E-3,3.155E-3,2.000E-3,-11.38E-3,-8.537E-3,-5.692E-3,-2.848E-3,0.000,4.207E-3
2.000E-3,1.045E-3,2.091E-3,3.138E-3,4.000E-3,-11.37E-3,-8.530E-3,-5.688E-3,-2.846E-3,2.000E-3,4.184E-3
4.000E-3,1.039E-3,2.080E-3,3.121E-3,6.000E-3,-11.36E-3,-8.524E-3,-5.684E-3,-2.844E-3,4.000E-3,4.162E-3
6.000E-3,1.034E-3,2.069E-3,3.104E-3,8.000E-3,-11.35E-3,-8.517E-3,-5.679E-3,-2.841E-3,6.000E-3,4.139E-3
8.000E-3,1.028E-3,2.057E-3,3.087E-3,10.00E-3,-11.35E-3,-8.510E-3,-5.675E-3,-2.839E-3,8.000E-3,4.116E-3
10.00E-3,1.022E-3,2.046E-3,3.070E-3,12.00E-3,-11.34E-3,-8.504E-3,-5.670E-3,-2.837E-3,10.00E-3,4.093E-3
12.00E-3,1.017E-3,2.035E-3,3.053E-3,14.00E-3,-11.33E-3,-8.497E-3,-5.666E-3,-2.835E-3,12.00E-3,4.071E-3
14.00E-3,1.011E-3,2.023E-3,3.036E-3,16.00E-3,-11.32E-3,-8.490E-3,-5.661E-3,-2.832E-3,14.00E-3,4.048E-3
16.00E-3,1.005E-3,2.012E-3,3.019E-3,18.00E-3,-11.31E-3,-8.483E-3,-5.657E-3,-2.830E-3,16.00E-3,4.025E-3
18.00E-3,999.7E-6,2.001E-3,3.002E-3,20.00E-3,-11.30E-3,-8.476E-3,-5.652E-3,-2.827E-3,18.00E-3,4.003E-3
20.00E-3,994.0E-6,1.989E-3,2.985E-3,22.00E-3,-11.29E-3,-8.469E-3,-5.647E-3,-2.825E-3,20.00E-3,3.980E-3
22.00E-3,988.4E-6,1.978E-3,2.968E-3,24.00E-3,-11.28E-3,-8.462E-3,-5.642E-3,-2.823E-3,22.00E-3,3.958E-3
24.00E-3,982.8E-6,1.967E-3,2.951E-3,26.00E-3,-11.27E-3,-8.455E-3,-5.638E-3,-2.820E-3,24.00E-3,3.935E-3
26.00E-3,977.1E-6,1.955E-3,2.934E-3,28.00E-3,-11.26E-3,-8.448E-3,-5.633E-3,-2.818E-3,26.00E-3,3.913E-3
28.00E-3,971.5E-6,1.944E-3,2.917E-3,30.00E-3,-11.25E-3,-8.440E-3,-5.628E-3,-2.815E-3,28.00E-3,3.890E-3
30.00E-3,965.8E-6,1.933E-3,2.900E-3,32.00E-3,-11.24E-3,-8.433E-3,-5.623E-3,-2.813E-3,30.00E-3,3.868E-3
32.00E-3,960.2E-6,1.922E-3,2.883E-3,34.00E-3,-11.23E-3,-8.426E-3,-5.618E-3,-2.810E-3,32.00E-3,3.845E-3
34.00E-3,954.6E-6,1.910E-3,2.867E-3,36.00E-3,-11.22E-3,-8.418E-3,-5.613E-3,-2.808E-3,34.00E-3,3.823E-3
36.00E-3,949.0E-6,1.899E-3,2.850E-3,38.00E-3,-11.21E-3,-8.411E-3,-5.608E-3,-2.805E-3,36.00E-3,3.800E-3
38.00E-3,943.4E-6,1.888E-3,2.833E-3,40.00E-3,-11.20E-3,-8.403E-3,-5.603E-3,-2.802E-3,38.00E-3,3.778E-3
40.00E-3,937.8E-6,1.877E-3,2.816E-3,42.00E-3,-11.19E-3,-8.395E-3,-5.597E-3,-2.800E-3,40.00E-3,3.755E-3
42.00E-3,932.2E-6,1.866E-3,2.799E-3,44.00E-3,-11.18E-3,-8.387E-3,-5.592E-3,-2.797E-3,42.00E-3,3.733E-3
44.00E-3,926.6E-6,1.854E-3,2.783E-3,46.00E-3,-11.17E-3,-8.379E-3,-5.587E-3,-2.794E-3,44.00E-3,3.711E-3
46.00E-3,921.0E-6,1.843E-3,2.766E-3,48.00E-3,-11.16E-3,-8.371E-3,-5.581E-3,-2.792E-3,46.00E-3,3.688E-3
48.00E-3,915.4E-6,1.832E-3,2.749E-3,50.00E-3,-11.15E-3,-8.363E-3,-5.576E-3,-2.789E-3,48.00E-3,3.666E-3
50.00E-3,909.8E-6,1.821E-3,2.732E-3,52.00E-3,-11.14E-3,-8.355E-3,-5.571E-3,-2.786E-3,50.00E-3,3.644E-3
52.00E-3,904.3E-6,1.810E-3,2.716E-3,54.00E-3,-11.13E-3,-8.347E-3,-5.565E-3,-2.783E-3,52.00E-3,3.621E-3
54.00E-3,898.7E-6,1.799E-3,2.699E-3,56.00E-3,-11.12E-3,-8.339E-3,-5.560E-3,-2.780E-3,54.00E-3,3.599E-3
56.00E-3,893.1E-6,1.788E-3,2.682E-3,58.00E-3,-11.11E-3,-8.330E-3,-5.554E-3,-2.778E-3,56.00E-3,3.577E-3
58.00E-3,887.6E-6,1.776E-3,2.666E-3,60.00E-3,-11.10E-3,-8.322E-3,-5.548E-3,-2.775E-3,58.00E-3,3.555E-3
60.00E-3,882.0E-6,1.765E-3,2.649E-3,62.00E-3,-11.08E-3,-8.313E-3,-5.543E-3,-2.772E-3,60.00E-3,3.532E-3
62.00E-3,876.5E-6,1.754E-3,2.632E-3,64.00E-3,-11.07E-3,-8.305E-3,-5.537E-3,-2.769E-3,62.00E-3,3.510E-3
64.00E-3,870.9E-6,1.743E-3,2.616E-3,66.00E-3,-11.06E-3,-8.296E-3,-5.531E-3,-2.766E-3,64.00E-3,3.488E-3
66.00E-3,865.4E-6,1.732E-3,2.599E-3,68.00E-3,-11.05E-3,-8.287E-3,-5.525E-3,-2.763E-3,66.00E-3,3.466E-3
68.00E-3,859.9E-6,1.721E-3,2.582E-3,70.00E-3,-11.04E-3,-8.278E-3,-5.519E-3,-2.760E-3,68.00E-3,3.444E-3
70.00E-3,854.4E-6,1.710E-3,2.566E-3,72.00E-3,-11.03E-3,-8.269E-3,-5.513E-3,-2.757E-3,70.00E-3,3.422E-3
72.00E-3,848.8E-6,1.699E-3,2.549E-3,74.00E-3,-11.01E-3,-8.260E-3,-5.507E-3,-2.754E-3,72.00E-3,3.400E-3
74.00E-3,843.3E-6,1.688E-3,2.533E-3,76.00E-3,-11.00E-3,-8.251E-3,-5.501E-3,-2.751E-3,74.00E-3,3.378E-3
76.00E-3,837.8E-6,1.677E-3,2.516E-3,78.00E-3,-10.99E-3,-8.242E-3,-5.495E-3,-2.747E-3,76.00E-3,3.356E-3
78.00E-3,832.3E-6,1.666E-3,2.500E-3,80.00E-3,-10.98E-3,-8.233E-3,-5.488E-3,-2.744E-3,78.00E-3,3.334E-3
80.00E-3,826.9E-6,1.655E-3,2.483E-3,82.00E-3,-10.96E-3,-8.223E-3,-5.482E-3,-2.741E-3,80.00E-3,3.312E-3
82.00E-3,821.4E-6,1.644E-3,2.467E-3,84.00E-3,-10.95E-3,-8.214E-3,-5.476E-3,-2.738E-3,82.00E-3,3.290E-3
84.00E-3,815.9E-6,1.633E-3,2.451E-3,86.00E-3,-10.94E-3,-8.204E-3,-5.469E-3,-2.735E-3,84.00E-3,3.268E-3
86.00E-3,810.4E-6,1.622E-3,2.434E-3,88.00E-3,-10.93E-3,-8.194E-3,-5.463E-3,-2.731E-3,86.00E-3,3.246E-3
88.00E-3,805.0E-6,1.611E-3,2.418E-3,90.00E-3,-10.91E-3,-8.184E-3,-5.456E-3,-2.728E-3,88.00E-3,3.224E-3
90.00E-3,799.5E-6,1.600E-3,2.401E-3,92.00E-3,-10.90E-3,-8.175E-3,-5.450E-3,-2.725E-3,90.00E-3,3.202E-3
92.00E-3,794.1E-6,1.589E-3,2.385E-3,94.00E-3,-10.89E-3,-8.165E-3,-5.443E-3,-2.721E-3,92.00E-3,3.181E-3
94.00E-3,788.6E-6,1.579E-3,2.369E-3,96.00E-3,-10.87E-3,-8.154E-3,-5.436E-3,-2.718E-3,94.00E-3,3.159E-3
96.00E-3,783.2E-6,1.568E-3,2.352E-3,98.00E-3,-10.86E-3,-8.144E-3,-5.429E-3,-2.714E-3,96.00E-3,3.137E-3
98.00E-3,777.8E-6,1.557E-3,2.336E-3,100.0E-3,-10.85E-3,-8.134E-3,-5.422E-3,-2.711E-3,98.00E-3,3.115E-3
100.0E-3,772.3E-6,1.546E-3,2.320E-3,102.0E-3,-10.83E-3,-8.123E-3,-5.415E-3,-2.707E-3,100.0E-3,3.094E-3
