dc (V),V1:p (W=3.00e-06) (A),V1:p (W=6.00e-06) (A),V1:p (W=9.00e-06) (A),V1:p (W=1.20e-05) (A),V1:p (W=1.50e-05) (A),V1:p (W=1.80e-05) (A),V1:p (W=2.10e-05) (A),V1:p (W=2.70e-05) (A),V1:p (W=3.00e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.7e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.4e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.8e-05)),dc (V),V1:p (W=2.40e-05) (A)
0.000,630.3E-6,1.261E-3,1.892E-3,2.524E-3,3.155E-3,3.786E-3,4.417E-3,5.680E-3,6.311E-3,2.000E-3,-17.07E-3,-15.36E-3,-13.66E-3,-11.95E-3,-10.24E-3,0.000,5.049E-3
2.000E-3,626.9E-6,1.254E-3,1.882E-3,2.510E-3,3.138E-3,3.766E-3,4.394E-3,5.649E-3,6.277E-3,4.000E-3,-17.06E-3,-15.35E-3,-13.65E-3,-11.94E-3,-10.24E-3,2.000E-3,5.021E-3
4.000E-3,623.4E-6,1.247E-3,1.872E-3,2.496E-3,3.121E-3,3.745E-3,4.370E-3,5.619E-3,6.243E-3,6.000E-3,-17.04E-3,-15.34E-3,-13.64E-3,-11.93E-3,-10.23E-3,4.000E-3,4.994E-3
6.000E-3,620.0E-6,1.240E-3,1.862E-3,2.483E-3,3.104E-3,3.725E-3,4.346E-3,5.588E-3,6.209E-3,8.000E-3,-17.03E-3,-15.33E-3,-13.63E-3,-11.92E-3,-10.22E-3,6.000E-3,4.967E-3
8.000E-3,616.6E-6,1.234E-3,1.851E-3,2.469E-3,3.087E-3,3.704E-3,4.322E-3,5.557E-3,6.175E-3,10.00E-3,-17.02E-3,-15.32E-3,-13.61E-3,-11.91E-3,-10.21E-3,8.000E-3,4.940E-3
10.00E-3,613.2E-6,1.227E-3,1.841E-3,2.455E-3,3.070E-3,3.684E-3,4.298E-3,5.527E-3,6.141E-3,12.00E-3,-17.00E-3,-15.30E-3,-13.60E-3,-11.90E-3,-10.20E-3,10.00E-3,4.912E-3
12.00E-3,609.8E-6,1.220E-3,1.831E-3,2.442E-3,3.053E-3,3.664E-3,4.274E-3,5.496E-3,6.107E-3,14.00E-3,-16.99E-3,-15.29E-3,-13.59E-3,-11.89E-3,-10.20E-3,12.00E-3,4.885E-3
14.00E-3,606.4E-6,1.213E-3,1.821E-3,2.428E-3,3.036E-3,3.643E-3,4.251E-3,5.465E-3,6.073E-3,16.00E-3,-16.98E-3,-15.28E-3,-13.58E-3,-11.88E-3,-10.19E-3,14.00E-3,4.858E-3
16.00E-3,603.0E-6,1.206E-3,1.811E-3,2.415E-3,3.019E-3,3.623E-3,4.227E-3,5.435E-3,6.039E-3,18.00E-3,-16.96E-3,-15.27E-3,-13.57E-3,-11.88E-3,-10.18E-3,16.00E-3,4.831E-3
18.00E-3,599.6E-6,1.200E-3,1.800E-3,2.401E-3,3.002E-3,3.602E-3,4.203E-3,5.404E-3,6.005E-3,20.00E-3,-16.95E-3,-15.25E-3,-13.56E-3,-11.87E-3,-10.17E-3,18.00E-3,4.804E-3
