dc (V),V1:p (Wn=5.00e-06) (A),V1:p (Wn=1.00e-05) (A),V1:p (Wn=1.50e-05) (A),V1:p (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1e-05)),dc (V),V1:p (Wn=2.00e-05) (A)
0.000,392.3E-6,785.2E-6,1.178E-3,1.964E-3,2.000E-3,-11.53E-3,-9.221E-3,-6.914E-3,-4.606E-3,0.000,1.571E-3
2.000E-3,387.7E-6,775.9E-6,1.164E-3,1.941E-3,4.000E-3,-11.49E-3,-9.189E-3,-6.889E-3,-4.590E-3,2.000E-3,1.553E-3
4.000E-3,383.1E-6,766.8E-6,1.151E-3,1.918E-3,6.000E-3,-11.45E-3,-9.156E-3,-6.865E-3,-4.573E-3,4.000E-3,1.534E-3
6.000E-3,378.5E-6,757.6E-6,1.137E-3,1.895E-3,8.000E-3,-11.41E-3,-9.123E-3,-6.840E-3,-4.557E-3,6.000E-3,1.516E-3
8.000E-3,374.0E-6,748.5E-6,1.123E-3,1.873E-3,10.00E-3,-11.36E-3,-9.089E-3,-6.814E-3,-4.540E-3,8.000E-3,1.498E-3
10.00E-3,369.4E-6,739.4E-6,1.110E-3,1.850E-3,12.00E-3,-11.32E-3,-9.055E-3,-6.789E-3,-4.523E-3,10.00E-3,1.480E-3
12.00E-3,364.9E-6,730.4E-6,1.096E-3,1.827E-3,14.00E-3,-11.28E-3,-9.020E-3,-6.763E-3,-4.505E-3,12.00E-3,1.462E-3
14.00E-3,360.4E-6,721.4E-6,1.083E-3,1.805E-3,16.00E-3,-11.23E-3,-8.985E-3,-6.736E-3,-4.488E-3,14.00E-3,1.444E-3
16.00E-3,356.0E-6,712.4E-6,1.069E-3,1.782E-3,18.00E-3,-11.19E-3,-8.950E-3,-6.710E-3,-4.470E-3,16.00E-3,1.426E-3
18.00E-3,351.5E-6,703.5E-6,1.056E-3,1.760E-3,20.00E-3,-11.14E-3,-8.914E-3,-6.683E-3,-4.452E-3,18.00E-3,1.408E-3
20.00E-3,347.1E-6,694.6E-6,1.042E-3,1.738E-3,22.00E-3,-11.10E-3,-8.877E-3,-6.656E-3,-4.434E-3,20.00E-3,1.390E-3
22.00E-3,342.6E-6,685.7E-6,1.029E-3,1.715E-3,24.00E-3,-11.05E-3,-8.840E-3,-6.628E-3,-4.415E-3,22.00E-3,1.372E-3
24.00E-3,338.2E-6,676.9E-6,1.016E-3,1.693E-3,26.00E-3,-11.01E-3,-8.803E-3,-6.600E-3,-4.397E-3,24.00E-3,1.354E-3
26.00E-3,333.8E-6,668.1E-6,1.002E-3,1.671E-3,28.00E-3,-10.96E-3,-8.765E-3,-6.571E-3,-4.378E-3,26.00E-3,1.337E-3
28.00E-3,329.5E-6,659.3E-6,989.3E-6,1.649E-3,30.00E-3,-10.91E-3,-8.727E-3,-6.543E-3,-4.358E-3,28.00E-3,1.319E-3
30.00E-3,325.1E-6,650.6E-6,976.3E-6,1.627E-3,32.00E-3,-10.86E-3,-8.688E-3,-6.514E-3,-4.339E-3,30.00E-3,1.302E-3
32.00E-3,320.8E-6,641.9E-6,963.2E-6,1.606E-3,34.00E-3,-10.81E-3,-8.649E-3,-6.484E-3,-4.319E-3,32.00E-3,1.284E-3
34.00E-3,316.5E-6,633.3E-6,950.3E-6,1.584E-3,36.00E-3,-10.76E-3,-8.609E-3,-6.454E-3,-4.299E-3,34.00E-3,1.267E-3
36.00E-3,312.2E-6,624.7E-6,937.4E-6,1.563E-3,38.00E-3,-10.71E-3,-8.569E-3,-6.424E-3,-4.279E-3,36.00E-3,1.250E-3
38.00E-3,307.9E-6,616.1E-6,924.5E-6,1.541E-3,40.00E-3,-10.66E-3,-8.528E-3,-6.393E-3,-4.259E-3,38.00E-3,1.233E-3
40.00E-3,303.7E-6,607.6E-6,911.7E-6,1.520E-3,42.00E-3,-10.61E-3,-8.486E-3,-6.362E-3,-4.238E-3,40.00E-3,1.216E-3
42.00E-3,299.4E-6,599.1E-6,899.0E-6,1.499E-3,44.00E-3,-10.56E-3,-8.444E-3,-6.331E-3,-4.217E-3,42.00E-3,1.199E-3
44.00E-3,295.2E-6,590.7E-6,886.3E-6,1.477E-3,46.00E-3,-10.50E-3,-8.402E-3,-6.299E-3,-4.196E-3,44.00E-3,1.182E-3
46.00E-3,291.0E-6,582.3E-6,873.7E-6,1.456E-3,48.00E-3,-10.45E-3,-8.359E-3,-6.266E-3,-4.174E-3,46.00E-3,1.165E-3
48.00E-3,286.9E-6,574.0E-6,861.2E-6,1.436E-3,50.00E-3,-10.40E-3,-8.315E-3,-6.234E-3,-4.152E-3,48.00E-3,1.148E-3
50.00E-3,282.7E-6,565.6E-6,848.7E-6,1.415E-3,52.00E-3,-10.34E-3,-8.271E-3,-6.201E-3,-4.130E-3,50.00E-3,1.132E-3
52.00E-3,278.6E-6,557.4E-6,836.3E-6,1.394E-3,54.00E-3,-10.29E-3,-8.226E-3,-6.167E-3,-4.108E-3,52.00E-3,1.115E-3
54.00E-3,274.5E-6,549.2E-6,824.0E-6,1.374E-3,56.00E-3,-10.23E-3,-8.181E-3,-6.133E-3,-4.085E-3,54.00E-3,1.099E-3
56.00E-3,270.4E-6,541.0E-6,811.7E-6,1.353E-3,58.00E-3,-10.17E-3,-8.135E-3,-6.098E-3,-4.062E-3,56.00E-3,1.082E-3
58.00E-3,266.4E-6,532.9E-6,799.5E-6,1.333E-3,60.00E-3,-10.11E-3,-8.088E-3,-6.064E-3,-4.039E-3,58.00E-3,1.066E-3
60.00E-3,262.4E-6,524.8E-6,787.4E-6,1.313E-3,62.00E-3,-10.05E-3,-8.041E-3,-6.028E-3,-4.015E-3,60.00E-3,1.050E-3
62.00E-3,258.4E-6,516.8E-6,775.4E-6,1.292E-3,64.00E-3,-9.995E-3,-7.994E-3,-5.993E-3,-3.991E-3,62.00E-3,1.034E-3
64.00E-3,254.4E-6,508.8E-6,763.4E-6,1.272E-3,66.00E-3,-9.934E-3,-7.945E-3,-5.956E-3,-3.967E-3,64.00E-3,1.018E-3
66.00E-3,250.4E-6,500.9E-6,751.5E-6,1.253E-3,68.00E-3,-9.873E-3,-7.896E-3,-5.920E-3,-3.943E-3,66.00E-3,1.002E-3
68.00E-3,246.5E-6,493.0E-6,739.6E-6,1.233E-3,70.00E-3,-9.811E-3,-7.847E-3,-5.882E-3,-3.918E-3,68.00E-3,986.2E-6
70.00E-3,242.6E-6,485.1E-6,727.9E-6,1.213E-3,72.00E-3,-9.749E-3,-7.797E-3,-5.845E-3,-3.893E-3,70.00E-3,970.5E-6
72.00E-3,238.7E-6,477.3E-6,716.2E-6,1.194E-3,74.00E-3,-9.685E-3,-7.746E-3,-5.807E-3,-3.867E-3,72.00E-3,954.9E-6
74.00E-3,234.8E-6,469.6E-6,704.6E-6,1.174E-3,76.00E-3,-9.621E-3,-7.694E-3,-5.768E-3,-3.842E-3,74.00E-3,939.4E-6
76.00E-3,231.0E-6,461.9E-6,693.0E-6,1.155E-3,78.00E-3,-9.556E-3,-7.642E-3,-5.729E-3,-3.816E-3,76.00E-3,924.1E-6
78.00E-3,227.2E-6,454.3E-6,681.6E-6,1.136E-3,80.00E-3,-9.490E-3,-7.590E-3,-5.690E-3,-3.789E-3,78.00E-3,908.8E-6
80.00E-3,223.4E-6,446.7E-6,670.2E-6,1.117E-3,82.00E-3,-9.423E-3,-7.536E-3,-5.650E-3,-3.763E-3,80.00E-3,893.6E-6
82.00E-3,219.7E-6,439.2E-6,658.9E-6,1.098E-3,84.00E-3,-9.356E-3,-7.482E-3,-5.609E-3,-3.736E-3,82.00E-3,878.5E-6
