dc (V),NM1:d (A),dc (V),1/deriv(i("/NM1/D" ?result "dc"))
0.000,-93.58E-12,2.000E-3,201.6
2.000E-3,9.923E-6,4.000E-3,206.0
4.000E-3,19.63E-6,6.000E-3,210.6
6.000E-3,29.13E-6,8.000E-3,215.5
8.000E-3,38.41E-6,10.00E-3,220.5
10.00E-3,47.48E-6,12.00E-3,225.8
12.00E-3,56.34E-6,14.00E-3,231.3
14.00E-3,64.99E-6,16.00E-3,237.0
16.00E-3,73.42E-6,18.00E-3,243.0
18.00E-3,81.66E-6,20.00E-3,249.3
20.00E-3,89.68E-6,22.00E-3,255.9
22.00E-3,97.49E-6,24.00E-3,262.8
24.00E-3,105.1E-6,26.00E-3,270.1
26.00E-3,112.5E-6,28.00E-3,277.7
28.00E-3,119.7E-6,30.00E-3,285.7
30.00E-3,126.7E-6,32.00E-3,294.2
32.00E-3,133.5E-6,34.00E-3,303.1
34.00E-3,140.1E-6,36.00E-3,312.4
36.00E-3,146.5E-6,38.00E-3,322.3
38.00E-3,152.7E-6,40.00E-3,332.7
40.00E-3,158.7E-6,42.00E-3,343.7
42.00E-3,164.5E-6,44.00E-3,355.4
44.00E-3,170.2E-6,46.00E-3,367.7
46.00E-3,175.6E-6,48.00E-3,380.7
48.00E-3,180.9E-6,50.00E-3,394.5
50.00E-3,185.9E-6,52.00E-3,409.1
52.00E-3,190.8E-6,54.00E-3,424.5
54.00E-3,195.5E-6,56.00E-3,440.9
56.00E-3,200.1E-6,58.00E-3,458.2
58.00E-3,204.4E-6,60.00E-3,476.6
60.00E-3,208.6E-6,62.00E-3,496.0
62.00E-3,212.7E-6,64.00E-3,516.6
64.00E-3,216.5E-6,66.00E-3,538.3
66.00E-3,220.3E-6,68.00E-3,561.3
68.00E-3,223.8E-6,70.00E-3,585.4
70.00E-3,227.2E-6,72.00E-3,610.9
72.00E-3,230.5E-6,74.00E-3,637.6
74.00E-3,233.6E-6,76.00E-3,665.6
76.00E-3,236.6E-6,78.00E-3,694.9
78.00E-3,239.5E-6,80.00E-3,725.4
80.00E-3,242.3E-6,82.00E-3,757.1
82.00E-3,244.9E-6,84.00E-3,789.9
84.00E-3,247.5E-6,86.00E-3,823.8
86.00E-3,249.9E-6,88.00E-3,858.6
88.00E-3,252.2E-6,90.00E-3,894.1
90.00E-3,254.4E-6,92.00E-3,930.4
92.00E-3,256.6E-6,94.00E-3,967.1
94.00E-3,258.7E-6,96.00E-3,1.004E3
96.00E-3,260.7E-6,98.00E-3,1.041E3
98.00E-3,262.6E-6,100.0E-3,1.079E3
100.0E-3,264.4E-6,102.0E-3,1.116E3
102.0E-3,266.2E-6,104.0E-3,1.152E3
104.0E-3,268.0E-6,106.0E-3,1.188E3
106.0E-3,269.6E-6,108.0E-3,1.224E3
108.0E-3,271.3E-6,110.0E-3,1.258E3
110.0E-3,272.9E-6,112.0E-3,1.292E3
112.0E-3,274.4E-6,114.0E-3,1.325E3
114.0E-3,275.9E-6,116.0E-3,1.356E3
116.0E-3,277.4E-6,118.0E-3,1.387E3
118.0E-3,278.8E-6,120.0E-3,1.416E3
120.0E-3,280.3E-6,122.0E-3,1.444E3
122.0E-3,281.6E-6,124.0E-3,1.471E3
124.0E-3,283.0E-6,126.0E-3,1.496E3
