dc (V),V5:p (A),dc (V),1/deriv(i("/V5/PLUS" ?result "dc"))
-750.0E-3,482.2E-6,-746.5E-3,-7.027E3
-746.5E-3,481.7E-6,-743.0E-3,-7.024E3
-743.0E-3,481.2E-6,-739.5E-3,-7.021E3
-739.5E-3,480.7E-6,-736.0E-3,-7.017E3
-736.0E-3,480.2E-6,-732.5E-3,-7.014E3
-732.5E-3,479.7E-6,-729.0E-3,-7.011E3
-729.0E-3,479.2E-6,-725.5E-3,-7.008E3
-725.5E-3,478.7E-6,-722.0E-3,-7.005E3
-722.0E-3,478.2E-6,-718.5E-3,-7.002E3
-718.5E-3,477.7E-6,-715.0E-3,-6.999E3
-715.0E-3,477.2E-6,-711.5E-3,-6.995E3
-711.5E-3,476.7E-6,-708.0E-3,-6.992E3
-708.0E-3,476.2E-6,-704.5E-3,-6.989E3
-704.5E-3,475.7E-6,-701.0E-3,-6.986E3
-701.0E-3,475.2E-6,-697.5E-3,-6.982E3
-697.5E-3,474.7E-6,-694.0E-3,-6.979E3
-694.0E-3,474.2E-6,-690.5E-3,-6.976E3
-690.5E-3,473.7E-6,-687.0E-3,-6.973E3
-687.0E-3,473.2E-6,-683.5E-3,-6.969E3
-683.5E-3,472.7E-6,-680.0E-3,-6.966E3
-680.0E-3,472.2E-6,-676.5E-3,-6.963E3
-676.5E-3,471.7E-6,-673.0E-3,-6.959E3
-673.0E-3,471.2E-6,-669.5E-3,-6.956E3
-669.5E-3,470.7E-6,-666.0E-3,-6.952E3
-666.0E-3,470.2E-6,-662.5E-3,-6.949E3
-662.5E-3,469.7E-6,-659.0E-3,-6.946E3
-659.0E-3,469.2E-6,-655.5E-3,-6.942E3
-655.5E-3,468.7E-6,-652.0E-3,-6.939E3
-652.0E-3,468.2E-6,-648.5E-3,-6.935E3
-648.5E-3,467.7E-6,-645.0E-3,-6.932E3
-645.0E-3,467.2E-6,-641.5E-3,-6.928E3
-641.5E-3,466.7E-6,-638.0E-3,-6.925E3
-638.0E-3,466.2E-6,-634.5E-3,-6.921E3
-634.5E-3,465.6E-6,-631.0E-3,-6.918E3
-631.0E-3,465.1E-6,-627.5E-3,-6.914E3
-627.5E-3,464.6E-6,-624.0E-3,-6.910E3
-624.0E-3,464.1E-6,-620.5E-3,-6.907E3
-620.5E-3,463.6E-6,-617.0E-3,-6.903E3
-617.0E-3,463.1E-6,-613.5E-3,-6.899E3
-613.5E-3,462.6E-6,-610.0E-3,-6.896E3
-610.0E-3,462.1E-6,-606.5E-3,-6.892E3
-606.5E-3,461.6E-6,-603.0E-3,-6.888E3
-603.0E-3,461.1E-6,-599.5E-3,-6.885E3
-599.5E-3,460.6E-6,-596.0E-3,-6.881E3
-596.0E-3,460.1E-6,-592.5E-3,-6.877E3
-592.5E-3,459.6E-6,-589.0E-3,-6.873E3
-589.0E-3,459.0E-6,-585.5E-3,-6.870E3
-585.5E-3,458.5E-6,-582.0E-3,-6.866E3
-582.0E-3,458.0E-6,-578.5E-3,-6.862E3
-578.5E-3,457.5E-6,-575.0E-3,-6.858E3
-575.0E-3,457.0E-6,-571.5E-3,-6.854E3
-571.5E-3,456.5E-6,-568.0E-3,-6.850E3
-568.0E-3,456.0E-6,-564.5E-3,-6.846E3
-564.5E-3,455.5E-6,-561.0E-3,-6.843E3
-561.0E-3,455.0E-6,-557.5E-3,-6.839E3
-557.5E-3,454.5E-6,-554.0E-3,-6.835E3
-554.0E-3,453.9E-6,-550.5E-3,-6.831E3
-550.5E-3,453.4E-6,-547.0E-3,-6.827E3
-547.0E-3,452.9E-6,-543.5E-3,-6.823E3
-543.5E-3,452.4E-6,-540.0E-3,-6.819E3
-540.0E-3,451.9E-6,-536.5E-3,-6.815E3
-536.5E-3,451.4E-6,-533.0E-3,-6.811E3
-533.0E-3,450.9E-6,-529.5E-3,-6.806E3
-529.5E-3,450.3E-6,-526.0E-3,-6.802E3
-526.0E-3,449.8E-6,-522.5E-3,-6.798E3
-522.5E-3,449.3E-6,-519.0E-3,-6.794E3
-519.0E-3,448.8E-6,-515.5E-3,-6.790E3
-515.5E-3,448.3E-6,-512.0E-3,-6.786E3
-512.0E-3,447.8E-6,-508.5E-3,-6.782E3
-508.5E-3,447.3E-6,-505.0E-3,-6.777E3
-505.0E-3,446.7E-6,-501.5E-3,-6.773E3
-501.5E-3,446.2E-6,-498.0E-3,-6.769E3
-498.0E-3,445.7E-6,-494.5E-3,-6.765E3
-494.5E-3,445.2E-6,-491.0E-3,-6.760E3
-491.0E-3,444.7E-6,-487.5E-3,-6.756E3
-487.5E-3,444.2E-6,-484.0E-3,-6.752E3
-484.0E-3,443.6E-6,-480.5E-3,-6.747E3
-480.5E-3,443.1E-6,-477.0E-3,-6.743E3
-477.0E-3,442.6E-6,-473.5E-3,-6.738E3
-473.5E-3,442.1E-6,-470.0E-3,-6.734E3
-470.0E-3,441.6E-6,-466.5E-3,-6.730E3
-466.5E-3,441.0E-6,-463.0E-3,-6.725E3
-463.0E-3,440.5E-6,-459.5E-3,-6.721E3
-459.5E-3,440.0E-6,-456.0E-3,-6.716E3
-456.0E-3,439.5E-6,-452.5E-3,-6.712E3
-452.5E-3,439.0E-6,-449.0E-3,-6.707E3
-449.0E-3,438.4E-6,-445.5E-3,-6.702E3
-445.5E-3,437.9E-6,-442.0E-3,-6.698E3
-442.0E-3,437.4E-6,-438.5E-3,-6.693E3
-438.5E-3,436.9E-6,-435.0E-3,-6.689E3
-435.0E-3,436.3E-6,-431.5E-3,-6.684E3
-431.5E-3,435.8E-6,-428.0E-3,-6.679E3
-428.0E-3,435.3E-6,-424.5E-3,-6.674E3
-424.5E-3,434.8E-6,-421.0E-3,-6.670E3
-421.0E-3,434.2E-6,-417.5E-3,-6.665E3
-417.5E-3,433.7E-6,-414.0E-3,-6.660E3
-414.0E-3,433.2E-6,-410.5E-3,-6.655E3
-410.5E-3,432.7E-6,-407.0E-3,-6.651E3
-407.0E-3,432.1E-6,-403.5E-3,-6.646E3
-403.5E-3,431.6E-6,-400.0E-3,-6.641E3
-400.0E-3,431.1E-6,-396.5E-3,-6.636E3
-396.5E-3,430.6E-6,-393.0E-3,-6.631E3
-393.0E-3,430.0E-6,-389.5E-3,-6.626E3
-389.5E-3,429.5E-6,-386.0E-3,-6.621E3
-386.0E-3,429.0E-6,-382.5E-3,-6.616E3
-382.5E-3,428.4E-6,-379.0E-3,-6.611E3
-379.0E-3,427.9E-6,-375.5E-3,-6.606E3
-375.5E-3,427.4E-6,-372.0E-3,-6.601E3
-372.0E-3,426.9E-6,-368.5E-3,-6.596E3
-368.5E-3,426.3E-6,-365.0E-3,-6.591E3
-365.0E-3,425.8E-6,-361.5E-3,-6.586E3
-361.5E-3,425.3E-6,-358.0E-3,-6.580E3
-358.0E-3,424.7E-6,-354.5E-3,-6.575E3
-354.5E-3,424.2E-6,-351.0E-3,-6.570E3
-351.0E-3,423.7E-6,-347.5E-3,-6.565E3
-347.5E-3,423.1E-6,-344.0E-3,-6.560E3
-344.0E-3,422.6E-6,-340.5E-3,-6.554E3
-340.5E-3,422.1E-6,-337.0E-3,-6.549E3
-337.0E-3,421.5E-6,-333.5E-3,-6.544E3
-333.5E-3,421.0E-6,-330.0E-3,-6.538E3
-330.0E-3,420.5E-6,-326.5E-3,-6.533E3
-326.5E-3,419.9E-6,-323.0E-3,-6.527E3
-323.0E-3,419.4E-6,-319.5E-3,-6.522E3
-319.5E-3,418.9E-6,-316.0E-3,-6.516E3
-316.0E-3,418.3E-6,-312.5E-3,-6.511E3
-312.5E-3,417.8E-6,-309.0E-3,-6.505E3
-309.0E-3,417.2E-6,-305.5E-3,-6.500E3
-305.5E-3,416.7E-6,-302.0E-3,-6.494E3
-302.0E-3,416.2E-6,-298.5E-3,-6.489E3
-298.5E-3,415.6E-6,-295.0E-3,-6.483E3
-295.0E-3,415.1E-6,-291.5E-3,-6.477E3
-291.5E-3,414.5E-6,-288.0E-3,-6.472E3
-288.0E-3,414.0E-6,-284.5E-3,-6.466E3
-284.5E-3,413.5E-6,-281.0E-3,-6.460E3
-281.0E-3,412.9E-6,-277.5E-3,-6.454E3
-277.5E-3,412.4E-6,-274.0E-3,-6.449E3
-274.0E-3,411.8E-6,-270.5E-3,-6.443E3
-270.5E-3,411.3E-6,-267.0E-3,-6.437E3
-267.0E-3,410.7E-6,-263.5E-3,-6.431E3
-263.5E-3,410.2E-6,-260.0E-3,-6.425E3
-260.0E-3,409.7E-6,-256.5E-3,-6.419E3
-256.5E-3,409.1E-6,-253.0E-3,-6.413E3
-253.0E-3,408.6E-6,-249.5E-3,-6.407E3
-249.5E-3,408.0E-6,-246.0E-3,-6.401E3
-246.0E-3,407.5E-6,-242.5E-3,-6.395E3
-242.5E-3,406.9E-6,-239.0E-3,-6.389E3
-239.0E-3,406.4E-6,-235.5E-3,-6.383E3
-235.5E-3,405.8E-6,-232.0E-3,-6.377E3
-232.0E-3,405.3E-6,-228.5E-3,-6.370E3
-228.5E-3,404.7E-6,-225.0E-3,-6.364E3
-225.0E-3,404.2E-6,-221.5E-3,-6.358E3
-221.5E-3,403.6E-6,-218.0E-3,-6.352E3
-218.0E-3,403.1E-6,-214.5E-3,-6.345E3
-214.5E-3,402.5E-6,-211.0E-3,-6.339E3
-211.0E-3,402.0E-6,-207.5E-3,-6.333E3
-207.5E-3,401.4E-6,-204.0E-3,-6.326E3
-204.0E-3,400.9E-6,-200.5E-3,-6.320E3
-200.5E-3,400.3E-6,-197.0E-3,-6.313E3
-197.0E-3,399.8E-6,-193.5E-3,-6.307E3
-193.5E-3,399.2E-6,-190.0E-3,-6.300E3
-190.0E-3,398.7E-6,-186.5E-3,-6.294E3
-186.5E-3,398.1E-6,-183.0E-3,-6.287E3
-183.0E-3,397.5E-6,-179.5E-3,-6.280E3
-179.5E-3,397.0E-6,-176.0E-3,-6.274E3
-176.0E-3,396.4E-6,-172.5E-3,-6.267E3
-172.5E-3,395.9E-6,-169.0E-3,-6.260E3
-169.0E-3,395.3E-6,-165.5E-3,-6.254E3
-165.5E-3,394.7E-6,-162.0E-3,-6.247E3
-162.0E-3,394.2E-6,-158.5E-3,-6.240E3
-158.5E-3,393.6E-6,-155.0E-3,-6.233E3
-155.0E-3,393.1E-6,-151.5E-3,-6.226E3
-151.5E-3,392.5E-6,-148.0E-3,-6.219E3
-148.0E-3,391.9E-6,-144.5E-3,-6.212E3
-144.5E-3,391.4E-6,-141.0E-3,-6.205E3
-141.0E-3,390.8E-6,-137.5E-3,-6.198E3
-137.5E-3,390.2E-6,-134.0E-3,-6.191E3
-134.0E-3,389.7E-6,-130.5E-3,-6.184E3
-130.5E-3,389.1E-6,-127.0E-3,-6.177E3
-127.0E-3,388.5E-6,-123.5E-3,-6.169E3
-123.5E-3,388.0E-6,-120.0E-3,-6.162E3
-120.0E-3,387.4E-6,-116.5E-3,-6.155E3
-116.5E-3,386.8E-6,-113.0E-3,-6.148E3
-113.0E-3,386.3E-6,-109.5E-3,-6.140E3
-109.5E-3,385.7E-6,-106.0E-3,-6.133E3
-106.0E-3,385.1E-6,-102.5E-3,-6.125E3
-102.5E-3,384.6E-6,-99.00E-3,-6.118E3
-99.00E-3,384.0E-6,-95.50E-3,-6.110E3
-95.50E-3,383.4E-6,-92.00E-3,-6.103E3
-92.00E-3,382.8E-6,-88.50E-3,-6.095E3
-88.50E-3,382.3E-6,-85.00E-3,-6.088E3
-85.00E-3,381.7E-6,-81.50E-3,-6.080E3
-81.50E-3,381.1E-6,-78.00E-3,-6.072E3
-78.00E-3,380.5E-6,-74.50E-3,-6.064E3
-74.50E-3,380.0E-6,-71.00E-3,-6.057E3
-71.00E-3,379.4E-6,-67.50E-3,-6.049E3
-67.50E-3,378.8E-6,-64.00E-3,-6.041E3
-64.00E-3,378.2E-6,-60.50E-3,-6.033E3
-60.50E-3,377.7E-6,-57.00E-3,-6.025E3
-57.00E-3,377.1E-6,-53.50E-3,-6.017E3
-53.50E-3,376.5E-6,-50.00E-3,-6.009E3
-50.00E-3,375.9E-6,-46.50E-3,-6.001E3
-46.50E-3,375.3E-6,-43.00E-3,-5.993E3
-43.00E-3,374.7E-6,-39.50E-3,-5.985E3
-39.50E-3,374.2E-6,-36.00E-3,-5.976E3
-36.00E-3,373.6E-6,-32.50E-3,-5.968E3
-32.50E-3,373.0E-6,-29.00E-3,-5.960E3
-29.00E-3,372.4E-6,-25.50E-3,-5.951E3
-25.50E-3,371.8E-6,-22.00E-3,-5.943E3
-22.00E-3,371.2E-6,-18.50E-3,-5.935E3
